,Name,GrossTotalDomesticSales,Genre,MPAARating,Runtime,ProductionBudget,WidestRelease,DaysReleased,Tomatometer.Critic.Review....,AudienceScore,NumCriticReviews,NumUserReviews
349,Holi (2014),706893,Foreign,Unrated,161,NA,144,10,NA,NA,NA,NA
350,Transformers: Age of Extinction,241410378,Science Fiction,PG13,165,210,4233,105,18,52,180,221172
351,Boyhood,25352281,Drama,R,166,4,775,255,98,82,264,81603
352,Interstellar,177002924,Science Fiction,PG13,169,165,3561,135,72,86,285,154827
353,The Golden Era,102931,Foreign,Unrated,177,NA,15,56,63,67,8,346
354,Haider,1048143,Foreign,Unrated,180,NA,119,29,100,6,88,1033
355,National Gallery,253941,Documentary,Unrated,183,NA,15,142,96,77,57,1418
356,Forrest Gump (IMAX),557683,Drama,PG13,NA,NA,337,7,72,95,81,NA
357,"Men, Women & Children",705908,Drama,R,NA,NA,608,10,31,46,39,6607
358,In Secret,444179,Romance,R,NA,NA,266,14,41,36,86,5202
359,Happy Ending,313770,Foreign,Unrated,NA,NA,129,21,NA,21,NA,370
360,Atlas Shrugged Part III: Who Is John Galt?,846704,Drama,PG13,NA,NA,242,21,NA,NA,NA,NA
361,Ghostbusters (30th Anniversary re-release),3580343,Horror,PG,NA,NA,784,21,NA,NA,NA,NA
362,Mas Negro Que La Noche,870063,Foreign,R,NA,NA,178,28,NA,40,4,1022
363,Back in Time (Congcong Nanian),569280,Foreign,Unrated,NA,NA,20,35,NA,57,NA,379
364,Women Who Flirt (Sajiao Nvren),375495,Foreign,Unrated,NA,NA,27,47,NA,50,NA,640
365,The Trip to Italy,2880537,Comdey,Unrated,NA,NA,199,84,86,56,105,9030
366,Tim's Vermeer,1671377,Documentary,PG13,NA,NA,129,119,89,86,113,8395
367,Penton: The John Penton Story,112159,Documentary,Unrated,NA,NA,14,151,NA,NA,NA,NA
368,Mommy,3494070,Foreign,R,NA,NA,83,182,91,91,105,4113
