,Name,GrossTotalDomesticSales,Genre,MPAARating,Runtime,ProductionBudget,WidestRelease,DaysReleased,Tomatometer.Critic.Review....,AudienceScore,NumCriticReviews,NumUserReviews
110,Elsa & Fred (2014),285863,Romance,PG13,97,NA,34,56,28,52,18,542
111,The Giver,44137725,Fantasy,PG,97,60,"3,003",77,36,57,145,53184
112,Night at the Museum: Secret of the Tomb,111506430,Family,PG,97,127,"3,914",119,50,60,101,98282
113,"20,000  on Earth",279558,Documentary,Unrated,97,NA,28,121,95,82,80,3907
114,The Boxtrolls,50577412,Animation,PG,97,60,"3,464",133,75,65,149,44100
115,Maleficent,233921534,Fantasy,PG,97,180,3948,189,49,71,195,173178
116,23 Blast,549185,Drama,PG13,98,NA,617,28,38,73,21,4090
117,The Quiet Ones,8509867,Horror,PG13,98,NA,"2,027",42,36,25,69,12904
118,Moms' Night Out,10429707,Comdey,PG,98,NA,"1,046",66,18,68,38,19152
119,Hercules (2014),71962800,Action,PG13,98,100,"3,595",84,60,50,104,101394
120,Love is Strange,2262223,Drama,R,98,NA,138,91,94,67,145,11995
121,The Two Faces of January,507463,Thriller,PG13,98,NA,59,91,82,48,105,12913
122,Magic in the Moonlight,10539326,Comdey,PG13,98,NA,964,119,51,46,156,11537
123,Godzilla: The Japanese Original,150191,Foreign,Unrated,98,NA,21,119,NA,NA,NA,NA
124,Palo Alto,767732,Drama,R,98,NA,57,126,73,49,31,13171
125,Last  in Vietnam,466114,Documentary,Unrated,98,NA,25,168,95,80,55,2664
126,Bethlehem,201700,Foreign,Unrated,99,NA,29,17,79,75,47,505
127,The Guest (2014),332890,Thriller,R,99,NA,53,40,90,68,96,17996
128,The Legend of Hercules,18848538,Action,PG13,99,70,"2,104",63,3,34,71,40708
129,Particle Fever,869838,Documentary,Unrated,99,NA,27,117,95,83,44,4645
130,A Girl Walks Home Alone at Night,424593,Foreign,Unrated,99,NA,19,147,95,79,75,6152
131,Main Tera Hero,274579,Foreign,Unrated,100,NA,77,21,NA,39,NA,277
132,One Chance,101196,Musical,PG13,100,NA,43,33,63,66,56,8285
133,Gimme Shelter,1359910,Drama,PG13,100,NA,385,35,22,64,69,7977
134,Kirk Cameron's Saving Christmas,2783970,Family,PG,100,NA,410,42,0,31,12,21026
135,Laggies,1066981,Romance,R,100,NA,306,56,69,50,105,7675
136,The Grand Budapest Hotel,58607007,Comdey,R,100,30,"1,467",60,98,86,258,89915
137,Zero Motivation,116044,Foreign,Unrated,100,NA,7,72,83,85,36,694
138,Calvary,3600006,Comdey,R,100,NA,322,77,89,80,146,16491
139,Jack Ryan: Shadow Recruit,50474843,Action,PG13,100,60,"3,387",77,56,54,159,63800
140,Stranger By the Lake,325196,Foreign,Unrated,100,NA,16,105,93,65,87,5846
141,Ride Along,131538435,Comdey,PG13,100,25,"2,867",111,18,59,120,97260
142,Heaven is for Real,90979003,Drama,PG,100,12,"3,048",117,46,67,80,58910
143,The LEGO Movie,255119788,Animation,PG,100,60,3890,210,96,87,221,210169
144,Dear White People,4404154,Comdey,R,100,NA,393,NA,92,64,100,19561
145,Cold in July,427418,Drama,R,100,NA,73,NA,85,68,103,11320
146,Dr. Cabbie (U.S. only),225490,Comdey,Unrated,101,NA,220,16,NA,NA,NA,916
147,The Fluffy Movie,2827393,Drama,PG13,101,NA,432,35,54,78,13,10966
148,Cesar Chavez,5571497,Drama,PG13,101,NA,664,42,41,61,69,7923
149,Top Five,25317291,Comdey,R,101,NA,"1,426",56,88,66,139,23658
150,Words and Pictures,2171257,Comdey,PG13,101,NA,216,91,42,51,85,3038
151,Teenage Mutant Ninja Turtles (2014),188020017,Action,PG13,101,125,3980,105,21,53,131,128910
152,Rio 2,128002372,Animation,G,101,103,"3,975",147,48,59,105,104650
153,Finding Fanny,615691,Foreign,Unrated,102,NA,121,7,40,48,5,562
154,What If (2014),3493000,Romance,PG13,102,NA,787,42,NA,NA,NA,NA
155,Frank Miller's Sin City: A Dame to Kill For,13757804,Drama,R,102,NA,"2,894",49,43,47,161,143255
156,Tusk,1826705,Horror,R,102,NA,602,56,39,39,109,10487
157,Pompeii,23219748,Action,PG13,102,100,"2,658",59,29,35,143,45847
158,Tracks (2014),510007,Drama,PG13,102,NA,67,70,81,78,111,9666
159,The Rover,1114423,Drama,R,102,12,608,70,65,51,156,10821
160,300: Rise of An Empire,102427862,Action,R,102,110,"3,490",84,42,53,170,139433
161,The Unknown Known,276497,Documentary,PG13,102,NA,80,91,83,69,100,5032
162,We Are The Best!,180590,Foreign,Unrated,102,NA,23,105,97,79,117,4985
163,Kids For Cash,143178,Documentary,Unrated,102,NA,12,112,91,76,35,3244
164,Saw 10th Anniversary,815324,Horror,R,103,NA,"2,063",7,48,84,87,NA
165,Endless Love (2014),23438250,Romance,PG13,103,20,"2,896",35,15,59,85,24667
166,Rosewater,3128941,Drama,R,103,NA,371,49,75,70,119,11722
167,The Expendables 3,39322544,Action,R,103,NA,"3,221",63,33,49,151,76542
168,America (2014),14444502,Documentary,PG13,103,NA,"1,105",70,8,85,24,11521
169,This is Where I Leave You,34296320,Comdey,R,103,19.8,"2,868",77,41,61,143,33350
170,The Purge: Anarchy,66954149,Thriller,R,103,9,"2,856",86,57,58,118,64856
171,St. Vincent,43737712,Comdey,PG13,103,13,"2,552",147,77,80,164,68842
172,Rob the Mob,208693,Drama,R,104,NA,30,63,84,56,37,2409
173,Vampire Academy,7791979,Fantasy,PG13,104,NA,"2,676",63,9,57,43,29419
174,Begin Again,16170632,Comdey,R,104,NA,"1,302",112,83,81,144,36025
175,Let's Be Cops,78031620,Action,R,104,17,"3,140",121,18,53,71,60401
176,The Lunchbox,4235151,Foreign,PG,104,NA,165,203,96,87,94,14607
177,Addicted,17390770,Drama,R,105,NA,"1,037",56,8,54,13,15304
178,Glen Campbell... I'll Be Me,365422,Documentary,PG,105,NA,18,70,100,96,29,1518
179,Left Behind (2014),14019924,Thriller,PG13,105,16,"1,887",70,2,45,61,18984
180,Oculus,27695246,Horror,R,105,NA,"2,648",77,73,52,133,43005
181,Yves Saint Laurent,723593,Foreign,R,105,NA,24,93,45,41,29,2991
182,Belle,10726630,Drama,PG,105,NA,525,119,83,83,131,24329
183,How to Train Your Dragon 2,167767189,Animation,PG,105,145,"4,268",182,92,90,159,183294
184,Anohana The Movie: The Flower We Saw That,109630,Animation,Unrated,106,NA,41,27,NA,78,NA,118
185,Evangelion: 3.0 You Can (Not) Redo,174945,Animation,Unrated,106,NA,82,31,NA,64,NA,308
186,But Always (Yi Sheng Yi Shi),430760,Foreign,Unrated,106,NA,20,42,0,58,6,352
187,Cantinflas,6382924,Drama,PG,106,NA,429,49,29,71,7,4808
188,The Drop,10724389,Drama,R,106,12.6,"1,192",63,89,77,177,30460
189,If I Stay,50151543,Drama,PG13,106,11,"3,157",77,36,63,118,46604
190,Big Eyes,14482031,Drama,PG13,106,NA,"1,408",92,71,70,157,27293
191,Whiplash,13092000,Drama,R,106,3.3,567,171,95,95,241,55580
192,The Identical,2827666,Drama,PG,107,NA,"1,956",21,7,69,60,4885
193,The Zero Theorem,257706,Science Fiction,R,107,NA,63,35,52,44,108,8902
194,Veronica Mars,3322127,Comdey,PG13,107,6,347,42,78,79,120,26052
195,The Railway Man,4438438,Drama,R,107,NA,600,98,66,68,109,14901
196,Dolphin Tale 2,42024533,Family,PG,107,36,"3,656",98,67,74,79,27144
197,Six Dance Lessons in Six Weeks,106323,Comdey,Unrated,107,NA,13,119,45,65,11,203
198,My Old Lady,4013786,Comdey,PG13,107,NA,273,128,56,47,76,3669
199,Under the Skin (2014),2614251,Science Fiction,R,107,13.3,176,133,85,54,207,32841
200,Awake: The Life of Yogananda,1435662,Documentary,PG,107,NA,21,182,73,82,11,430
201,The November Man,25018119,Action,R,108,NA,"2,776",65,35,48,115,18774
202,Horrible Bosses 2,54240821,Comdey,R,108,42,"3,400",86,35,50,135,55616
203,RoboCop (2014),56280355,Science Fiction,PG13,108,100,"3,372",96,49,51,191,126059
204,Listen Up Philip,200126,Drama,Unrated,108,NA,30,105,84,56,82,3551
205,A Summer's Tale,198126,Foreign,G,108,NA,9,129,98,85,43,4950
206,Big Hero 6,208545589,Animation,PG,108,165,3773,161,89,92,186,115146
207,Sabotage (2014),10508518,Action,R,109,NA,"2,486",49,19,36,103,21579
208,Annabelle,83911193,Comdey,PG13,109,40,"3,215",112,29,38,117,45789
209,The Other Woman (2014),83301343,Comdey,PG13,109,40,"3,306",112,23,58,145,63994
210,Kochadaiiyaan,817192,Foreign,Unrated,110,NA,161,14,NA,63,0,35
211,Make Your Move,125106,Drama,PG13,110,NA,142,14,43,49,14,1589
212,Repentance,1189612,Horror,R,110,NA,157,28,NA,44,4,4792
213,Draft ,28842237,Drama,PG13,110,NA,"2,781",70,61,66,145,33841
214,Dumb and Dumber To,85911262,Comdey,PG13,110,40,"3,188",91,29,39,133,63159
215,The Good Lie,2722209,Drama,PG13,110,NA,461,98,87,82,79,20475
216,The Monuments Men,72688614,Action,PG13,110,70,"3,083",101,31,44,219,72064
217,Non-Stop,91443253,Thriller,PG13,110,50,"3,183",107,60,64,199,76936
218,Gloria (2014),2107925,Foreign,R,110,NA,110,112,NA,63,NA,182
219,50 to 1,1064454,Drama,PG13,110,NA,133,210,17,80,6,1193
220,God the Father,113276,Documentary,R,111,NA,15,35,NA,83,NA,239
221,God Help the Girl,102757,Drama,Unrated,111,NA,59,35,68,62,63,3104
222,Labor ,13371528,Drama,PG13,111,18,"2,584",49,34,54,181,20123
223,Tyler Perry's The Single Moms Club,15973881,Comdey,PG13,111,NA,"1,896",49,16,59,25,26659
224,The Gambler,33680992,Drama,R,111,25,"2,494",57,46,35,124,20052
225,The Song,1009620,Drama,PG13,112,NA,340,28,98,93,57,7306
226,The Interview (2014),6105175,Comdey,R,112,NA,581,32,53,50,123,57831
227,That Demon Within,172343,Foreign,Unrated,112,NA,16,52,46,38,13,435
228,Step Up All In,14904384,Drama,PG13,112,NA,"2,072",56,43,58,46,32601
229,Kill the Messenger,2450846,Thriller,R,112,NA,427,63,78,71,117,13989
230,Night Moves,271755,Thriller,R,112,NA,56,119,85,41,112,11427
231,Muppets Most Wanted,50856010,Family,PG,112,50,"3,194",119,78,59,170,64624
232,The Captive,1075178,Thriller,Unrated,112,NA,133,126,29,33,48,3860
233,22 Jump Street,191204754,Comdey,R,112,50,3426,157,85,78,196,165936
234,I Origins,336472,Drama,R,113,NA,122,35,52,67,96,6026
235,Edge of Tomorrow,92168600,Science Fiction,PG13,113,178,"3,505",98,90,90,267,139872
236,The Grand Seduction,3430018,Comdey,PG13,113,NA,124,105,59,66,64,5808
237,God's Not Dead,59700064,Drama,PG,113,2,"1,860",140,17,79,18,39640
238,The Maze Runner,101530738,Science Fiction,PG13,113,34,"3,638",140,63,69,145,87843
239,A Walk Among the Tombstones,26307600,Drama,R,114,28,"2,714",34,65,54,144,35799
240,Wish I Was Here,3591299,Comdey,R,114,NA,753,56,46,62,113,16854
241,Hector And The Search For Happiness,1124445,Drama,R,114,NA,183,91,35,58,80,6240
242,The Imitation Game,86208010,Drama,PG13,114,14,"2,402",140,89,92,227,90872
243,Citizenfour,2790500,Documentary,R,114,NA,105,182,98,89,128,14306
244,When the Game Stands Tall,30127963,Drama,PG,115,15,"2,766",73,18,74,62,20611
245,Chef,31424003,Comdey,R,115,NA,"1,298",126,86,85,169,54469
246,Wild (2014),37856177,Drama,R,115,NA,"1,361",138,90,79,222,47268
247,The Breakup Guru,208959,Foreign,Unrated,116,NA,12,31,NA,52,NA,379
248,A  Ways to Die in the West,43139300,Drama,R,116,40,"3,160",48,33,41,188,61880
249,Breakup Buddies,777896,Foreign,Unrated,116,NA,24,49,NA,71,0,546
250,On My Way,317324,Foreign,Unrated,116,NA,32,63,83,64,40,901
251,Beyond the Lights,14618727,Drama,PG13,116,7,"1,789",84,81,79,74,16767
252,Life Itself,810454,Documentary,R,116,NA,100,105,97,90,180,10158
253,Chinese Puzzle,338523,Foreign,R,117,NA,29,63,75,68,61,3604
254,The Congress,137815,Science Fiction,Unrated,117,NA,37,77,74,54,93,7254
255,3  to Kill,30697999,Action,PG13,117,28,"2,872",84,28,44,108,36446
256,Nymphomaniac: Volume I,785896,Drama,Unrated,117,NA,59,91,75,71,133,13576
257,The Best of Me,26766213,Romance,PG13,117,26,"2,936",91,8,60,74,24597
258,Nightcrawler,32381217,Drama,R,117,8.5,"2,766",97,95,86,223,72671
259,Jersey Boys,46294610,Musical,PG13,117,40,"2,905",100,53,63,194,24592
260,Joe (2014),373375,Drama,R,117,NA,48,NA,86,68,123,17812
261,The Divine Move,136707,Foreign,Unrated,118,NA,11,21,NA,46,NA,98
262,Jimi: All Is By My Side,342667,Drama,R,118,NA,19,21,66,44,76,6912
263,Deliver Us From Evil,30577122,Horror,R,118,30,"3,049",40,28,43,115,25756
264,Annie (2014),85817906,Musical,PG,118,65,"3,197",87,27,62,139,49073
265,Force Majeure,1359497,Foreign,R,118,NA,68,133,92,77,127,8231
266,The Liberator,113067,Foreign,Unrated,119,NA,77,10,38,75,31,1976
267,Finding Fela,120980,Documentary,Unrated,119,NA,11,175,57,78,49,264
268,Birdman,42340598,Comdey,R,119,18,"1,213",182,93,79,259,82365
269,Horns,173948,Fantasy,R,120,NA,103,31,41,50,109,14564
270,The Immigrant,2025328,Drama,R,120,NA,150,49,88,61,104,12502
271,Pride (2014),1446634,Comdey,R,120,NA,124,56,92,89,122,14569
272,Transcendence,23022309,Science Fiction,PG13,120,100,"3,455",63,19,38,196,63067
273,The Galapagos Affair: Satan Came to Eden,247159,Documentary,Unrated,120,NA,15,101,82,65,49,1563
274,A Most Wanted Man,17237855,Thriller,R,121,NA,801,112,88,65,178,34428
275,Guardians of the Galaxy,259766572,Action,PG13,121,170,4088,175,91,93,259,238392
276,"Like Father, Like Son (2014)",334616,Foreign,Unrated,121,NA,35,NA,87,88,90,7202
277,Mary Kom,621300,Foreign,Unrated,122,NA,139,14,NA,61,0,310
278,Beijing Love Story,428318,Foreign,Unrated,122,NA,12,42,33,63,6,423
279,The Disappearance of Eleanor Rigby,587774,Drama,R,122,NA,139,56,62,56,77,7942
280,The Homesman,2429989,Drama,R,122,NA,222,105,82,51,136,11541
281,Think Like a Man Too,65014513,Comdey,PG,122,12,"2,225",106,23,61,78,39759
282,The Hundred-Foot Journey,52543632,Drama,PG,122,22,"2,167",119,68,81,127,31112
283,Godzilla (2014),191719337,Action,PG13,123,160,3952,105,74,67,268,172230
284,The Hunger Games: Mockingjay - Part 1,333176600,Action,PG13,123,128.8,4151,119,65,73,234,214066
285,Only Lovers Left Alive,1879534,Drama,R,123,7,95,161,85,74,165,19320
286,The Theory of Everything,35893537,Drama,PG13,123,15,"1,220",161,79,84,221,68891
287,Nymphomaniac: Volume II,327167,Drama,Unrated,124,NA,31,74,59,57,116,7278
288,Into the Woods,126663600,Musical,PG,124,50,"2,833",113,71,51,188,90766
289,Walking with the Enemy,923261,Drama,PG13,124,NA,258,147,44,55,36,1358
290,A Most Violent Year,5726307,Drama,R,125,20,818,110,90,71,181,20679
291,The Fault in our Stars,115637895,Romance,PG13,125,12,"3,340",126,81,86,196,105174
292,Winter's Tale,12600231,Fantasy,PG13,126,60,"2,965",49,13,44,135,24948
293,The Wind Rises,5209580,Animation,PG13,126,NA,496,91,89,85,157,20949
294,The Dance of Reality,293680,Foreign,Unrated,126,NA,15,98,NA,NA,NA,NA
295,Ode to My Father,2300121,Foreign,Unrated,126,NA,38,109,60,82,5,708
296,Snowpiercer,4563650,Science Fiction,R,126,NA,356,119,95,72,185,50464
297,The Attorney,557236,Foreign,Unrated,127,NA,27,24,73,87,11,667
298,The Admiral: Roaring Currents,2589811,Foreign,Unrated,127,NA,45,91,NA,81,NA,653
299, Dollar Arm,36457627,Drama,PG,127,25,"3,019",98,62,70,131,34931
300,Selma,51183113,Drama,PG13,127,20,"2,235",113,99,87,205,50981
301,The Equalizer,101200044,Thriller,R,128,55,"3,236",108,61,77,175,87336
302,Ek Villain,730530,Foreign,Unrated,129,NA,104,14,NA,NA,NA,NA
303,Khoobsurat,710508,Foreign,Unrated,130,NA,61,17,NA,60,0,542
304,The Pirates,415775,Foreign,Unrated,130,NA,25,31,50,51,6,416
305,Third Person,1021398,Romance,R,130,NA,227,98,23,35,99,5750
306,Need for Speed,43577636,Action,PG13,130,66,"3,115",98,22,58,156,58344
307,Dawn of the Planet of the Apes,202853933,Action,PG13,130,170,3969,147,90,89,257,198969
308,Stalingrad (2014),1013945,Foreign,R,131,NA,308,38,48,42,69,6694
309,The Best Offer,100035,Drama,R,131,NA,15,60,56,75,32,4104
310,X-Men: Days of Future Past,222378290,Action,PG13,131,200,4001,140,91,92,255,268859
311,Highway (2014),529136,Foreign,Unrated,132,NA,97,24,NA,66,NA,727
312,American Sniper,337135885,Drama,R,132,58.8,3885,116,73,86,220,130119
313,Fury (2014),84525432,Drama,R,134,68,"3,313",95,77,85,222,101100
314,The Judge,47047013,Drama,R,134,40,"3,003",98,47,73,178,44839
315,Foxcatcher,12096300,Drama,R,134,NA,759,115,88,68,208,52398
