Precinct,Area,Population,TotalA,White,Black,Native,AsPac,Hisp,WhiteA,BlackA,NativeA,AsPacA,HispA
61,134635158.9,161022,22,121859,6017,310,24600,13186,8,9,0,0,5
62,103206694.3,181663,47,101045,1891,528,62799,24144,21,13,0,4,9
63,229441742,108319,8,48985,48412,326,5082,9190,0,7,0,0,1
66,99520789.11,192137,89,134568,5157,682,35419,24892,21,14,0,5,46
67,93744758.44,152148,40,3930,139036,503,1778,10482,1,38,0,0,1
68,110940958.6,125217,10,85299,2239,356,26218,18417,2,2,0,1,5
69,107316655.3,85242,19,6951,71483,315,2269,7154,0,16,0,1,2
70,82181407.82,160584,30,66009,62887,770,14715,24935,1,21,0,3,5
71,45331787.17,99021,32,20044,71722,365,1236,9266,2,29,0,0,1
72,104650199.9,126242,20,53542,6126,1589,32527,56924,1,1,0,2,16
73,51771864.99,86993,47,5088,71254,680,642,17281,1,38,0,0,7
75,183100917.8,182198,78,26818,104462,1805,9119,67007,0,53,0,0,22
76,48238155.22,43449,26,29743,6717,209,2035,9108,3,13,0,0,10
77,42651832.13,90643,18,16177,64736,388,2352,10670,0,17,0,0,1
78,67677111.13,67696,7,49691,7153,230,4058,10464,0,6,0,0,1
79,44975546.93,90347,60,19912,55501,614,2300,20086,0,49,0,0,10
81,34485430.76,62579,8,4623,50145,388,1197,10392,1,7,0,0,0
83,56650181.43,112590,64,34172,28083,1521,4951,73585,2,22,0,0,38
84,35462930.72,51027,33,34073,7660,173,4971,7033,2,26,0,1,4
88,42391696.96,50657,23,19054,22465,228,3352,7820,3,17,0,1,1
90,66150207.03,117944,29,80700,10483,818,5606,38298,1,11,0,0,17
94,65630039.3,55141,11,45114,1532,175,3234,8721,4,5,0,1,1
100,205207232.5,48062,17,29912,12791,167,1350,7210,3,11,0,0,3
101,84672899.21,66916,30,19176,35166,531,1275,16892,1,26,0,0,3
102,133314470.8,144233,63,53896,14932,1820,31510,58868,5,12,0,14,32
103,100921595,103662,13,12143,47330,1442,17436,28168,0,12,0,0,1
104,210504683.7,170500,32,119953,4332,935,13841,59002,8,6,0,0,18
105,347336805.3,186770,106,33669,106685,938,27575,22233,5,90,2,1,8
106,172528622.2,122078,126,43788,22458,1652,22561,28191,17,44,1,24,35
107,207501246.6,152599,41,65456,20906,717,47492,26634,7,18,0,10,6
108,139601011.7,115101,5,50516,3230,942,37616,39531,1,0,0,0,3
109,322684590.2,246890,46,94512,6562,556,122841,41026,11,7,0,6,22
110,112103959.2,171578,67,50896,11764,1696,55450,91339,3,10,0,2,52
111,260154567.5,116912,25,62384,2655,99,45869,11779,5,5,0,5,10
112,88945075.95,112314,8,71688,3224,223,29271,15199,0,3,0,0,5
113,389636744.6,122878,13,3194,107066,698,2761,10141,0,13,0,0,0
114,179997958.7,202136,75,116524,23276,1171,29281,54227,20,23,1,8,21
115,113293878.5,170898,20,65987,13354,1920,27968,108867,1,1,0,0,18
120,232534766.8,113360,38,59041,28460,695,8946,30011,4,26,0,0,8
121,475714745.6,119378,39,74506,16624,554,13222,27274,6,21,1,1,10
122,454780943.4,137923,24,118806,3373,325,8465,15795,8,8,0,0,8
123,460788163.5,98068,30,89324,1400,121,4531,7970,20,6,0,0,4
